flight_departure_date,snapshot_date,tickets_sold_by_snapshot_date
2017-01-01,2016-10-14,0
2017-01-01,2016-10-15,0
2017-01-01,2016-10-16,0
2017-01-01,2016-10-17,0
2017-01-01,2016-10-18,0
2017-01-01,2016-10-19,0
2017-01-01,2016-10-20,0
2017-01-01,2016-10-21,0
2017-01-01,2016-10-22,0
2017-01-01,2016-10-23,0
2017-01-01,2016-10-24,0
2017-01-01,2016-10-25,0
2017-01-01,2016-10-26,4
2017-01-01,2016-10-27,4
2017-01-01,2016-10-28,4
2017-01-01,2016-10-29,4
2017-01-01,2016-10-30,8
2017-01-01,2016-10-31,12
2017-01-01,2016-11-01,15
2017-01-01,2016-11-02,15
2017-01-01,2016-11-03,19
2017-01-01,2016-11-04,19
2017-01-01,2016-11-05,19
2017-01-01,2016-11-06,19
2017-01-01,2016-11-07,19
2017-01-01,2016-11-08,21
2017-01-01,2016-11-09,25
2017-01-01,2016-11-10,37
2017-01-01,2016-11-11,37
2017-01-01,2016-11-12,37
2017-01-01,2016-11-13,45
2017-01-01,2016-11-14,47
2017-01-01,2016-11-15,51
2017-01-01,2016-11-16,51
2017-01-01,2016-11-17,51
2017-01-01,2016-11-18,53
2017-01-01,2016-11-19,55
2017-01-01,2016-11-20,55
2017-01-01,2016-11-21,55
2017-01-01,2016-11-22,61
2017-01-01,2016-11-23,61
2017-01-01,2016-11-24,61
2017-01-01,2016-11-25,61
2017-01-01,2016-11-26,61
2017-01-01,2016-11-27,63
2017-01-01,2016-11-28,63
2017-01-01,2016-11-29,79
2017-01-01,2016-11-30,81
2017-01-01,2016-12-01,87
2017-01-01,2016-12-02,89
2017-01-01,2016-12-03,93
2017-01-01,2016-12-04,97
2017-01-01,2016-12-05,103
2017-01-01,2016-12-06,105
2017-01-01,2016-12-07,107
2017-01-01,2016-12-08,115
2017-01-01,2016-12-09,123
2017-01-01,2016-12-10,125
2017-01-01,2016-12-11,133
2017-01-01,2016-12-12,135
2017-01-01,2016-12-13,146
2017-01-01,2016-12-14,158
2017-01-01,2016-12-15,166
2017-01-01,2016-12-16,166
2017-01-01,2016-12-17,166
2017-01-01,2016-12-18,176
2017-01-01,2016-12-19,198
2017-01-01,2016-12-20,202
2017-01-01,2016-12-21,205
2017-01-01,2016-12-22,209
2017-01-01,2016-12-23,211
2017-01-01,2016-12-24,211
2017-01-01,2016-12-25,217
2017-01-01,2016-12-26,223
2017-01-01,2016-12-27,251
2017-01-01,2016-12-28,276
2017-01-01,2016-12-29,297
2017-01-01,2016-12-30,324
2017-01-01,2016-12-31,366
2017-01-01,2017-01-01,459
2017-01-02,2016-10-15,0
2017-01-02,2016-10-16,0
2017-01-02,2016-10-17,0
2017-01-02,2016-10-18,0
2017-01-02,2016-10-19,0
2017-01-02,2016-10-20,0
2017-01-02,2016-10-21,0
2017-01-02,2016-10-22,0
2017-01-02,2016-10-23,0
2017-01-02,2016-10-24,0
2017-01-02,2016-10-25,0
2017-01-02,2016-10-26,0
2017-01-02,2016-10-27,0
2017-01-02,2016-10-28,0
2017-01-02,2016-10-29,0
2017-01-02,2016-10-30,0
2017-01-02,2016-10-31,0
2017-01-02,2016-11-01,0
2017-01-02,2016-11-02,0
2017-01-02,2016-11-03,0
2017-01-02,2016-11-04,2
2017-01-02,2016-11-05,2
2017-01-02,2016-11-06,6
2017-01-02,2016-11-07,6
2017-01-02,2016-11-08,8
2017-01-02,2016-11-09,16
2017-01-02,2016-11-10,20
2017-01-02,2016-11-11,24
2017-01-02,2016-11-12,24
2017-01-02,2016-11-13,38
2017-01-02,2016-11-14,38
2017-01-02,2016-11-15,48
2017-01-02,2016-11-16,48
